OID_,Unique_ID,Lat,Long,EW_River,Date,County,State,Site_name,Unique_site,HW_mm,HwL_mm,HwL_HW,Epiproct_L_mm,Prementum_W_mm,Prementum_L_mm,Sex,Instar,HUC_8,ACRES,HU_10_NAME,STATES
58,N-47,32.5502755,-84.514963,East,5/10/2022,Talbot,Georgia,Black Creek,3blac,1.75,0.225,0.129,0.425,1.15,1.125,Unknown,F-2+,3130003,15931.42858,Upper Upatoi Creek,GA
61,N-68,30.458896,-84.980746,East,5/13/2022,Liberty,Florida,ARB-01 (HANNAH),3abre,1.75,0.3,0.171,0.425,1.2,1.175,Unknown,F-2+,3130011,12997.6298,Stafford Creek-Apalachicola River,FL
87,N-80,30.458896,-84.980746,East,3/14/2023,Liberty,Florida,Apalachicola Bluffs,4abre,1.8,0.25,0.139,0.425,1.15,1.275,Unknown,F-2+,3130011,12997.6298,Stafford Creek-Apalachicola River,FL
11,N-23,30.479595,-84.62586,East,2/8/2004,Gadsden,Florida,"Bear Creek, Hwy 267, W of Lake Talquin",KTbecr1,2,0.36,0.18,0.525,1.25,1.3,Unknown,F-2+,3120003,16682.23229,Rocky Comfort Creek,FL
12,N-25,30.479595,-84.62586,East,2/8/2004,Gadsden,Florida,"Bear Creek, Hwy 267, W of Lake Talquin",KTbecr1,2,0.36,0.18,0.51,1.35,1.4,Unknown,F-2+,3120003,16682.23229,Rocky Comfort Creek,FL
40,N-66,30.65768,-86.58864,West,3/4/2022,Okaloosa,Florida,Turkey Hen West,JMVthw,2.2,0.45,0.205,0.6,1.5,1.55,Unknown,F-2+,3140103,22617.40946,Lower Shoal River,FL
63,N-69,30.472,-84.625,East,5/14/2022,Gadsden,Florida,LTSF-01 (HANNAH),3becr,2.2,0.55,0.25,0.575,1.425,1.625,Unknown,F-2+,3120003,16682.23229,Rocky Comfort Creek,FL
60,N-54,30.458896,-84.980746,East,5/13/2022,Liberty,Florida,ARB-02 (HANNAH),3abre,2.225,0.625,0.281,0.625,1.5,1.625,Unknown,F-2+,3130011,12997.6298,Stafford Creek-Apalachicola River,FL
84,N-90,30.516443,-86.8593,West,3/13/2023,Santa Rosa,Florida,Boiling Creek,4boic,2.225,0.6,0.27,0.6,1.55,1.4,Unknown,F-2+,3140103,26024.53977,Lower Yellow River,FL
90,N-91,30.731078,-86.848718,West,4/24/2023,Santa Rosa,Florida,BRSF-01 (Hannah),5tucr,2.25,0.575,0.256,0.55,1.5,1.625,Unknown,F-2+,3140104,22464.87722,Blackwater River,FL
56,N-49,31.195029,-85.096153,East,5/9/2022,Early,Georgia,Williams Bluff TNC,3wibl,2.275,0.5,0.22,0.575,1.5,1.475,Unknown,F-2+,3130004,16682.13036,Sawhatchee Creek-Chattahoochee River,"AL,GA"
64,N-44,30.53029,-86.087452,West,5/17/2022,Walton,Florida,Magnolia Creek,3macr,2.42862,0.425,0.175,0.6,1.475,1.5,Unknown,F-2+,3140102,17788.67998,La Grange Bayou-Bear Creek Frontal,FL
81,N-75,30.63196,-86.77498,West,3/13/2023,Okaloosa,Florida,Milligan Creek,4micr,2.575,0.825,0.32,0.725,1.675,1.7,Unknown,F-2+,3140103,22836.65383,Lower Yellow River,FL
13,N-27,30.479595,-84.62586,East,2/8/2004,Gadsden,Florida,"Bear Creek, Hwy 267, W of Lake Talquin",KTbecr1,2.592,0.741,0.286,0.65,1.65,1.85,Unknown,F-2+,3120003,16682.23229,Rocky Comfort Creek,FL
